# categoria	nome	href	tldr — fonte: github.com/Shubhamsaboo/awesome-llm-apps (Apache-2.0)
rag	Llama 3.1 Local RAG	rag_tutorials/llama3.1_local_rag/	RAG local com Llama 3.1
rag	Local Hybrid Search RAG	rag_tutorials/local_hybrid_search_rag/	Busca híbrida rodando na própria máquina, sem serviço externo
rag	Multimodal Agentic RAG	rag_tutorials/multimodal_agentic_rag/	RAG que recupera e raciocina sobre texto e imagem
rag	Local RAG Agent	rag_tutorials/local_rag_agent/	Agente de RAG local, sem depender de API paga
rag	RAG-as-a-Service	rag_tutorials/rag-as-a-service/	RAG empacotado como serviço consumível por API
rag	RAG Agent with Cohere	rag_tutorials/rag_agent_cohere/	RAG usando os modelos e o reranker da Cohere
rag	Basic RAG Chain	rag_tutorials/rag_chain/	A cadeia mínima de RAG — o ponto de partida para entender o resto
rag	RAG with Database Routing	rag_tutorials/rag_database_routing/	Escolhe entre várias bases qual consultar para cada pergunta
rag	Vision RAG	rag_tutorials/vision_rag/	Recuperação sobre imagens, respondendo perguntas visuais
rag	RAG Failure Diagnostics Clinic	rag_tutorials/rag_failure_diagnostics_clinic/	Diagnostica por que um RAG está respondendo errado
rag	Knowledge Graph RAG with Citations	rag_tutorials/knowledge_graph_rag_citations/	RAG sobre grafo de conhecimento, com citação da fonte de cada afirmação
memoria	AI ArXiv Agent with Memory	advanced_llm_apps/llm_apps_with_memory_tutorials/ai_arxiv_agent_memory/	Agente de leitura de artigos que lembra o que já foi lido
memoria	AI Travel Agent with Memory	advanced_llm_apps/llm_apps_with_memory_tutorials/ai_travel_agent_memory/	Planejador de viagem que retém preferências entre conversas
memoria	Llama3 Stateful Chat	advanced_llm_apps/llm_apps_with_memory_tutorials/llama3_stateful_chat/	Conversa com estado persistente sobre Llama 3
memoria	LLM App with Personalized Memory	advanced_llm_apps/llm_apps_with_memory_tutorials/llm_app_personalized_memory/	Aplicação que constrói memória personalizada por usuário
memoria	Local ChatGPT Clone with Memory	advanced_llm_apps/llm_apps_with_memory_tutorials/local_chatgpt_with_memory/	Clone local de chat com memória, sem enviar dado para fora
memoria	Multi-LLM Application with Shared Memory	advanced_llm_apps/llm_apps_with_memory_tutorials/multi_llm_memory/	Vários modelos compartilhando a mesma memória
conversar	Chat with GitHub (GPT & Llama3)	advanced_llm_apps/chat_with_X_tutorials/chat_with_github/	Conversa com um repositório do GitHub
conversar	Chat with Gmail	advanced_llm_apps/chat_with_X_tutorials/chat_with_gmail/	Conversa com a própria caixa de e-mail
conversar	Chat with PDF (GPT & Llama3)	advanced_llm_apps/chat_with_X_tutorials/chat_with_pdf/	Conversa com um PDF — o exemplo canônico de RAG
conversar	Chat with Research Papers (ArXiv)	advanced_llm_apps/chat_with_X_tutorials/chat_with_research_papers/	Conversa com artigos científicos do arXiv
conversar	Chat with Substack	advanced_llm_apps/chat_with_X_tutorials/chat_with_substack/	Conversa com o arquivo de uma newsletter do Substack
conversar	Chat with YouTube Videos	advanced_llm_apps/chat_with_X_tutorials/chat_with_youtube_videos/	Conversa com a transcrição de vídeos do YouTube
otimizacao	Toonify Token Optimization	advanced_llm_apps/llm_optimization_tools/toonify_token_optimization/	Reduz o consumo de token de uma aplicação
otimizacao	Headroom Context Optimization	advanced_llm_apps/llm_optimization_tools/headroom_context_optimization/	Gerencia a folga da janela de contexto para não estourar o limite
fine-tuning	Gemma 3 Fine-tuning	advanced_llm_apps/llm_finetuning_tutorials/gemma3_finetuning/	Ajuste fino do Gemma 3 para uma tarefa específica
fine-tuning	Llama 3.2 Fine-tuning	advanced_llm_apps/llm_finetuning_tutorials/llama3.2_finetuning/	Ajuste fino do Llama 3.2, com Unsloth
cursos	Google ADK Crash Course	ai_agent_framework_crash_course/google_adk_crash_course/	Curso rápido do Agent Development Kit do Google
cursos	OpenAI Agents SDK Crash Course	ai_agent_framework_crash_course/openai_sdk_crash_course/	Curso rápido do SDK de agentes da OpenAI
